x_desired,y_desired,z_desired,x_actual,y_actual,z_actual
-0.586677,7.88544,2.03955,-0.979607,7.92578,1.96406
-0.52248,7.87358,2.03564,-0.905448,7.91227,1.95931
-0.458284,7.86171,2.03173,-0.84198,7.90061,1.9555
-0.394087,7.84985,2.02781,-0.767235,7.88571,1.952
-0.32989,7.83799,2.0239,-0.713641,7.87451,1.94995
-0.265694,7.82612,2.01999,-0.638833,7.85898,1.94731
-0.201497,7.81426,2.01608,-0.574848,7.84581,1.94534
-0.137301,7.80239,2.01216,-0.511048,7.8328,1.94394
-0.073104,7.79053,2.00825,-0.447541,7.82002,1.94271
-0.0089074,7.77867,2.00434,-0.373507,7.80536,1.94074
0.0552892,7.7668,2.00043,-0.310136,7.79305,1.93827
0.119486,7.75494,1.99651,-0.246446,7.78003,1.93556
0.183682,7.74307,1.9926,-0.17181,7.76418,1.93208
0.247879,7.73121,1.98869,-0.107954,7.75095,1.92889
0.312076,7.71935,1.98478,-0.0444622,7.73811,1.92563
0.376272,7.70748,1.98086,0.0186908,7.72561,1.92249
0.440469,7.69562,1.97695,0.0921216,7.71135,1.91835
0.504666,7.68375,1.97304,0.154817,7.69943,1.91428
0.568862,7.67189,1.96913,0.21729,7.68776,1.90984
0.633059,7.66003,1.96521,0.280493,7.67563,1.90561
0.697255,7.64816,1.9613,0.344371,7.6631,1.90116
0.761452,7.6363,1.95739,0.418739,7.64875,1.89574
0.825649,7.62443,1.95348,0.482446,7.63662,1.89061
0.889845,7.61257,1.94956,0.546114,7.62459,1.8855
0.954042,7.6007,1.94565,0.609732,7.61266,1.88021
1.01824,7.58884,1.94174,0.683959,7.59889,1.87416
1.08244,7.57698,1.93782,0.747447,7.58724,1.86872
1.14663,7.56511,1.93391,0.820283,7.57322,1.86258
1.21083,7.55325,1.93,0.882026,7.56099,1.8575
1.27502,7.54138,1.92609,0.943558,7.54895,1.85273
1.33922,7.52952,1.92217,1.00478,7.5371,1.84816
1.40342,7.51766,1.91826,1.07599,7.52342,1.84245
1.46761,7.50579,1.91435,1.13693,7.51183,1.83744
1.53181,7.49393,1.91044,1.19787,7.50036,1.8326
1.59601,7.48206,1.90652,1.25904,7.489,1.8277
1.6602,7.4702,1.90261,1.33116,7.475,1.82194
1.7244,7.45834,1.8987,1.38309,7.46468,1.8178
1.7886,7.44647,1.89479,1.45606,7.45043,1.81191
